iter	F1	Logloss
0	0.4835007787	0.691316489911	0.67689059	0.6786856282
2	0.692096213	0.6726115955
3	0.6816995904	0.6611515512
4	0.6696145365	0.656305818
5	0.6657905419	0.6499314495
6	0.664778187	0.6443251977
7	0.6653596087	0.6355909197
8	0.6632484366	0.6305314355
9	0.6446487898	0.6231955724
10	0.6233828718	0.6171528915
11	0.6230830267	0.6138708072
12	0.6000546848	0.6082425948
13	0.6000446155	0.6032261082
14	0.5999503628	0.6001653505
15	0.6002376971	0.5978827635
16	0.6002376971	0.596821548
17	0.5998511154	0.5946183141
18	0.5999503628	0.5937160955
19	0.5992602327	0.5918369915
20	0.5994586484	0.590956825
21	0.6025991159	0.5901179121
22	0.6013295617	0.5880387588
23	0.5996571956	0.5860332651
24	0.5996571956	0.585340822
25	0.6003476809	0.5834178366
26	0.6023173675	0.5827831768
27	0.6024170122	0.5820939692
28	0.6003531477	0.580431665
29	0.5998606468	0.578810292
30	0.5998606468	0.578195825
31	0.5998606468	0.5756207072
32	0.6008450693	0.5741988401
33	0.6034954333	0.5730882823
34	0.6018271781	0.5719369823
35	0.6014290192	0.5714946181
36	0.6069030207	0.5710896185
37	0.606118467	0.5699286771
38	0.6060187116	0.5696275097
39	0.6076717	0.5692199669
40	0.6065037162	0.5681958244
41	0.6077715852	0.5678171728
42	0.6109636173	0.567415065
43	0.6176756692	0.5671968927
44	0.6211946658	0.5667179025
45	0.6280737938	0.566343593
46	0.6303626665	0.5653328161
47	0.6342962785	0.5644030041
48	0.6447066445	0.5636703122
49	0.6516972704	0.5633737988
50	0.6523772393	0.5629843212
51	0.6519243119	0.5621430869
52	0.6519515257	0.5612700749
53	0.6473061746	0.5609966344
54	0.6416147016	0.5607296845
55	0.6386153748	0.5599278841
56	0.6477067044	0.5595899628
57	0.6525706195	0.5593391089
58	0.6558436102	0.5585814063
59	0.6540507928	0.5582174884
60	0.658807831	0.5579108608
61	0.6566091065	0.5572947245
62	0.6613116498	0.5566059927
63	0.6541506639	0.5561137869
64	0.6544504602	0.5555626961
65	0.6531017658	0.5553326893
66	0.6505562465	0.5550109227
67	0.6555439626	0.5544830135
68	0.6559884435	0.554184857
69	0.6562542612	0.554034885
70	0.6595175459	0.5537315972
71	0.6577109065	0.5535337301
72	0.65731293	0.5533345627
73	0.6564532497	0.5528126984
74	0.6592819103	0.552651666
75	0.6564750229	0.5524539209
76	0.6596260845	0.5523296156
77	0.6594810967	0.5520434962
78	0.660214095	0.5519286044
79	0.6566307575	0.5516800854
80	0.6566307575	0.5515712648
81	0.6601319977	0.5510406869
82	0.6633412328	0.5508485037
83	0.6649850283	0.5506257651
84	0.6671295762	0.5504530351
85	0.6619356273	0.5499081163
86	0.6652190443	0.5496175103
87	0.6682761217	0.5493508085
88	0.6694966091	0.5491836634
89	0.6706998288	0.5486954842
90	0.6724099731	0.5485492812
91	0.6727079347	0.548396763
92	0.6733070948	0.5481966253
93	0.6738102586	0.5480801181
94	0.6745078984	0.5479429832
95	0.6760973227	0.5478086585
96	0.6757003145	0.5476894587
97	0.6742089092	0.547538338
98	0.6734111909	0.5473218655
99	0.67250593	0.5472040821
100	0.6731109521	0.5470960429
101	0.6722114786	0.5470363596
102	0.6739095191	0.546877021
103	0.6760973227	0.5463941839
104	0.6765933048	0.5462547611
105	0.6767907325	0.5461087536
106	0.6772878501	0.5458746724
107	0.6797512785	0.5456004596
108	0.6799453243	0.5451661964
109	0.6807298837	0.5450846208
110	0.6817117199	0.5449056026
111	0.6818112144	0.5448169008
112	0.6821947133	0.5447487131
113	0.6821025901	0.5446338001
114	0.6832727759	0.5445060501
115	0.6825925612	0.5440523073
116	0.6818966316	0.5438635629
117	0.682875001	0.5437459048
118	0.6827676413	0.5434855993
119	0.6832557142	0.5433836458
120	0.6850056189	0.54303477
121	0.683842755	0.5428964423
122	0.6848069586	0.5427260045
123	0.6843204648	0.5426538757
124	0.6850056189	0.5425968526
125	0.6866499197	0.5422523823
126	0.6873464757	0.5420214563
127	0.6867616559	0.5419549453
128	0.6875325786	0.5418707379
129	0.6873335246	0.5414831134
130	0.6879038886	0.5413598885
131	0.6874200039	0.5412800977
132	0.6882740088	0.5411030583
133	0.6889554375	0.5408437658
134	0.6887710868	0.5407743724
135	0.6875063195	0.5406383784
136	0.6877050466	0.540515898
137	0.6880890971	0.5403452538
138	0.6881746793	0.5401614864
139	0.6890548862	0.5400760448
140	0.6906169453	0.5399552188
141	0.6908164058	0.5398364789
142	0.6914805368	0.5397332095
143	0.6922428495	0.5395355859
144	0.6920434148	0.539256817
145	0.6934831702	0.5391460438
146	0.6936827997	0.5390163872
147	0.6921612444	0.5389136962
148	0.6927419395	0.5388507236
149	0.6933029943	0.5387298004
4
